id,title,Sentence,pagerank
1029,Evaluating aerosol and splatter following dental procedures: addressing new challenges for oral healthcare and rehabilitation Running Title: Evaluating dental aerosol and splatter,"3-in-1 use is not currently included in the list of defined healthcare When dental suction was provided by an assistant this was more effective in reducing contamination, although increased readings were seen at 1.5 m, potentially indicating that an additional barrier in the form of an assistant may have a more complex aerodynamic effect.",2.6373570820180303
894,Dentistry during the COVID-19 Epidemic: An Italian Workflow for the Management of Dental Practice,"The unit was able to manage up to 20 patients remotely and 12 patients face-to-face using the proposed workflow per working day, from 8 A.M to 2 P.M. Additionally, a small cluster of high risk and very high risk patients were admitted to the dental unit during the two-month time span, to perform either clinical examinations or schedule future treatments.",2.597844960846462
758,Dentistry during the COVID-19 Epidemic: An Italian Workflow for the Management of Dental Practice,"Two recent studies where air sampling was performed next to a patient with a high COVID-19 viral load in their nasopharyingeal and throat swabs assessed that SARS-CoV-2 cannot be detected in the air at a distance of 10 cm or more from the patient's chin with or without wearing a surgical mask, even considering environmental contamination [22, 23] .",2.521618261428902
261,Dental radiographic procedures during COVID-19 outbreak and normalization period: recommendations on infection control,"There are limited number of reports on dental radiography during COVID-19 [13] [14] [15] , which is a critical component of diagnostic work-up and involves significant potential for cross-contamination through exposure to saliva and/or blood.",2.5206072544399323
1085,European Journal of Dentistry,"10 In this sense, hand hygiene is thought to be the most important preventive measure, working as the main action to reduce those infections and cross-transmission of said pathogens, especially the multi-resistant ones, 8,9,11−15 including the oral healthcare setting.",2.498239852876535
944,Evaluating aerosol and splatter following dental procedures: addressing new challenges for oral healthcare and rehabilitation Running Title: Evaluating dental aerosol and splatter,"Hence, dental aerosols and splatter are likely to be a high-risk mode of transmission for SARS-CoV-2, and it is highly likely that international clinical protocols across the spectrum of dental practice will need to be significantly modified to allow a safe return to routine care.",2.477492636378923
298,Dental radiographic procedures during COVID-19 outbreak and normalization period: recommendations on infection control,"If proper disinfection techniques is not applied when taking any dental radiograph, the potential for cross-contamination of radiographic equipment with blood and/or saliva would be significantly high [17, 18, 21] .",2.4634777179573657
903,Dentistry during the COVID-19 Epidemic: An Italian Workflow for the Management of Dental Practice,"Being effective and straightforward, it ensured the possibility to treat up to 12 patients per working day in a dental unit provided with three different areas for dental procedures.",2.431067960994872
1225,Competency assessment for infection control in the undergraduate dental curriculum,"It should also be remembered that it is unethical to refuse dental  With regard to infection control, this exercise helped in preparing to see your first patients on clinical practice 1.7 The session highlights the importance of infection control on clinical practice 1.7 The exercise made you aware of the hospital protocols for infection control 1.6 The session ensured you revised the hospital infection control procedures 1.8 Successfully completing this exercise has given you more confidence in infection control on clinic 1.8 There are adequate education resources for infection control training This exercise should be used in future before students start seeing patients 1.5 strongly agree strongly disagree Fig.",2.379493573780439
622,Journal Pre-proofs Title Title: What Dentists Need to Know about COVID-19,"Although typical clinical presentations of COVID-19 do not contain eye symptoms, the examination of conjunctival samples from confirmed and suspected COVID-19 cases supports that the transmission of COVID-19 is not restricted to the respiratory tract, and that eye exposure may be a potential way for the virus to penetrate.",2.366281507560417
1233,Competency assessment for infection control in the undergraduate dental curriculum,Recent studies have shown hand hygiene to be the single most critical measure for reducing the risk of transmitting organisms (2) between patients and dental staff and in particular for controlling the spread of multi-resistant organisms.,2.3598870546478854
950,Evaluating aerosol and splatter following dental procedures: addressing new challenges for oral healthcare and rehabilitation Running Title: Evaluating dental aerosol and splatter,"Many studies are small and report only one repetition of a single procedure, and some have only examined contamination of the operator and assistant; a number of studies which have measured spatial distribution of aerosol and splatter have only done so to a limited distance from the source.",2.3243574009264347
1027,Evaluating aerosol and splatter following dental procedures: addressing new challenges for oral healthcare and rehabilitation Running Title: Evaluating dental aerosol and splatter,"PPE for patients' clothes do not feature in dental guidelines relating to COVID-19, and our findings would suggest significant contamination of the patient is likely during AGPs, presenting a risk of onward cross-contamination by contact with surroundings; it is therefore important to provide waterproof protection for patients' clothes.",2.321764555055107
358,Dental radiographic procedures during COVID-19 outbreak and normalization period: recommendations on infection control,"A majority of these infection control procedures have been already known as inseparable parts of everyday dental radiology practice, however, the new COVID-19 disease has dramatically altered our habits and the way we live our lives due to high transmission rate.",2.319438336059691
1143,Competency assessment for infection control in the undergraduate dental curriculum,"Indeed dental undergraduate students provide a significantly increased potential for cross-contamination compared with more experienced members of the dental team, emphasising the need to ensure that they are thoroughly trained and aware of protocols necessary to minimise the risk both to themselves and to their patients (8) (9) (10) .",2.295363508201775
545,Awareness and compliance of dental students and interns toward infection control at Riyadh Elm University,"The questionnaire was designed to cover different aspects of infection control practices in dental clinics including: 1. aseptic techniques, 2. patient screening and evaluation, 3. personal protection, 4. instrument sterilization, 5. immunization against hepatitis B virus, 6. surface disinfection, and 7. equipment asepsis.",2.293937426142254
644,Journal Pre-proofs Title Title: What Dentists Need to Know about COVID-19,"Given the need for close contact between healthcare personnel and infected patients to obtain nasopharyngeal or oropharyngeal samples, the possibility of a saliva self-collection will significantly decrease the chance of COVID-19 transmission.",2.29294870443249
812,Dentistry during the COVID-19 Epidemic: An Italian Workflow for the Management of Dental Practice,"Aerosol-generating procedures, like air-flows or tooth preparation for dental prosthesis, represent the critical moment in the dental practice in the COVID-19 era and should be managed carefully and performed last.",2.289925241571389
791,Dentistry during the COVID-19 Epidemic: An Italian Workflow for the Management of Dental Practice,"To support clinicians in dental management during the COVID-19 epidemic, we want to share our two months of experience based on a workflow centered on the following key points: (1) Assessment of the patient risk level based on a multiparameter analysis related to dental chief complaint, history of COVID-19 exposure, and systemic conditions.",2.2877992671518417
592,A commentary on,"This can be partly explained given that the literature about Saliva: a diagnostic option and a transmission route for 2019-nCoV Practice points • Noticing the diagnostic value of saliva for COVID-19 at early stages, its collection (and especially self-collection) could be beneficial for patients.",2.269704417312741
562,Awareness and compliance of dental students and interns toward infection control at Riyadh Elm University,"The results of this study showed that the implementation of different infection control measures was good to excellent, except for hepatitis B vaccination and wearing eye protection.",2.2557295033384355
205,Dental aerosols: microbial composition and spatial distribution,"A large proportion of the air samples, from our study, that were taken before treatment, after treatment and during treatment at the control location did not meet the criteria for clean air (guidelines for clean air: SS EN ISO 14,698-1:2003).",2.2546778434964505
1255,Competency assessment for infection control in the undergraduate dental curriculum,Infection control represents one such important area whose teaching requires continuous evaluation due to its ever-changing evidence-base.,2.2496785558728596
1033,Evaluating aerosol and splatter following dental procedures: addressing new challenges for oral healthcare and rehabilitation Running Title: Evaluating dental aerosol and splatter,We did not have a suitable device available to measure air flow rate of the system used in the present study and hence we chose to use the term 'dental suction' as we were unable to confirm whether it met this definition.,2.2184526331393406
1218,Competency assessment for infection control in the undergraduate dental curriculum,It shows that significant improvements were seen in students' results in the already established infection control spot test.,2.2109498948662445
666,Journal Pre-proofs Title Title: What Dentists Need to Know about COVID-19,Such results clarified the main reason that there is a potentially huge COVID-19 infectious vulnerability risk for oral cavity and brought up a proof for the future prevention procedure in dental practice and daily life.,2.202467901222656
792,Dentistry during the COVID-19 Epidemic: An Italian Workflow for the Management of Dental Practice,"(2) Promotion of a two-phase dental procedure management: (a) remote contact via telephone and/or web for preliminary risk level evaluation and telediagnosis, and (b) face-to-face treatment.",2.19372201100904
1047,Evaluating aerosol and splatter following dental procedures: addressing new challenges for oral healthcare and rehabilitation Running Title: Evaluating dental aerosol and splatter,"These data were collected from hospital inpatients, and recent data suggest that asymptomatic carriers may have lower salivary viral loads 27, 28 ; similarly the average concentration of fluorescein detected by spectrofluorometric analysis past 2 m in the present study was almost two orders of magnitude lower than at 0.5 m, and so at distances beyond 0.5 m this risk is likely to be lower.",2.182304583068292
721,Journal Pre-proofs Title Title: What Dentists Need to Know about COVID-19,"Furthermore, the use of high-speed handpieces and three-way syringes should be minimized by dentists during the COVID-19 outbreak.",2.182206461714069
1051,Evaluating aerosol and splatter following dental procedures: addressing new challenges for oral healthcare and rehabilitation Running Title: Evaluating dental aerosol and splatter,Our findings suggest that it may be safe to reduce fallow times between dental AGPs in settings with 6.5 air changes per hour to 30 minutes.,2.1805633617583817
212,Dental aerosols: microbial composition and spatial distribution,"This is in line with a previous study [25] , although other studies reported no difference in microbial counts near the patient's head and at further distance from the treatment zone [11, 26] .",2.1764323260008016
683,Journal Pre-proofs Title Title: What Dentists Need to Know about COVID-19," Individuals with suspected COVID-19 infection will be seated in a distinct, well-ventilated waiting room at least 6 feet away from patients receiving treatment who are not infected based on the guidelines of the Centers for Disease Control and Prevention (CDC).",2.1735233897755117
761,Dentistry during the COVID-19 Epidemic: An Italian Workflow for the Management of Dental Practice,"While none of the air samples were infectious in cell culture, data suggest that viral aerosol particles are produced by individuals that have the COVID-19 disease-even in the absence of cough-thus, it is not possible to completely rule out airborne transmission yet.",2.172494281764578
1178,Competency assessment for infection control in the undergraduate dental curriculum,"To determine potential improvements in student knowledge and application of infection control, examination results from the previously established Infection control spot test [an unannounced written assessment run in the summer term of year 3 which was initially instigated in 2001 ( Fig.",2.1723949800178404
